Type,Price,Sqm Price,Size,Living Area,Ground Area,Rooms,Ownership Expense,Year Built,Story,Energy Label,Longitude,Latitude,ZipCode,Drop_Rate,Age of Building,Price_W_Drop_Rate,Town
Ejerlejlighed,1.995.000,32.177,62,57,,3,2.253,1954, 3, D,12.4917658,55.7055424,2700,0,68,1.995.000,Brønshøj
Villa,3.795.000,50.600,75,,,1,3.474,1927,0, D,12.469894,55.71444,2700,0,95,3.795.000,Brønshøj
Andelsbolig,653.000,0,43,,,1,,1929, 4, D,12.497307,55.704231,2700,7,93,607.290,Brønshøj
Andelsbolig,977.000,0,86,,,3,,1952, 2, D,12.480528,55.713905,2700,0,70,977.000,Brønshøj
Andelsbolig,1.100.000,0,72,,,2,,1929, 1, D,12.497535,55.704512,2700,0,93,1.100.000,Brønshøj
Rækkehus,3.995.000,30.037,133,,,5,4.682,2007,0, B,12.464436,55.715275,2700,0,15,3.995.000,Brønshøj
Villa,15.995.000,65.285,245,,811,6,7.308,1952,0, C,12.495739,55.712233,2700,0,70,15.995.000,Brønshøj
Ejerlejlighed,1.995.000,35.625,56,50,,2,2.849,1937, 1, D,12.506398,55.704052,2700,0,85,1.995.000,Brønshøj
Villa,4.995.000,43.434,115,,667,4,6.286,1969,0, D,12.465613,55.702066,2700,0,53,4.995.000,Brønshøj
Rækkehus,5.995.000,59.950,100,,,4,3.736,1919,0, D,12.5071141,55.7082014,2700,0,103,5.995.000,Brønshøj
Andelsbolig,849.571,0,52,,,2,,1929, 3, D,12.497453,55.704612,2700,9,93,773.109,Brønshøj
Ejerlejlighed,2.395.000,32.808,73,68,,3,4.135,1958, 2, E,12.460257,55.715566,2700,0,64,2.395.000,Brønshøj
Villa,14.995.000,83.305,180,,723,7,7.662,1918,0, D,12.495647,55.707418,2700,0,104,14.995.000,Brønshøj
Rækkehus,4.995.000,44.598,112,,,4,4.041,1978,0, B,12.46598,55.701232,2700,0,44,4.995.000,Brønshøj
Villa,5.295.000,62.294,85,,683,3,5.477,1935,0, D,12.488412,55.70161,2700,0,87,5.295.000,Brønshøj
Rækkehus,3.995.000,42.052,95,,,4,4.153,2007,0, A10,12.465425,55.715549,2700,5,15,3.795.250,Brønshøj
Villa,7.495.000,55.110,136,,544,6,5.917,1948,0, C,12.48066,55.702258,2700,0,74,7.495.000,Brønshøj
Villa,6.595.000,65.297,101,,466,4,5.857,1916,0, D,12.510656,55.710268,2700,6,106,6.199.300,Brønshøj
Ejerlejlighed,1.995.000,31.171,64,58,,2,2.287,1936, 1, D,12.505199,55.704547,2700,8,86,1.835.400,Brønshøj
Villa,5.595.000,48.652,115,,658,3,4.792,1953,0, C,12.469461,55.700608,2700,0,69,5.595.000,Brønshøj
Villa,7.995.000,62.952,127,,669,7,5.916,1932,0, C,12.480755,55.701183,2700,0,90,7.995.000,Brønshøj
Villa,4.995.000,48.495,103,,478,4,5.051,1936,0, D,12.461168,55.708723,2700,12,86,4.395.600,Brønshøj
Villa,3.795.000,40.806,93,,205,5,2.551,1920,0, C,12.50943,55.709277,2700,0,102,3.795.000,Brønshøj
Villalejlighed,5.895.000,48.319,122,,,5,4.474,2022, 1, A20,12.4938211,55.6977104,2700,0,0,5.895.000,Brønshøj
Villa,6.245.000,63.724,98,,281,4,4.075,1900,0, D,12.502557,55.705264,2700,4,122,5.995.200,Brønshøj
Villa,6.495.000,49.961,130,,611,5,5.764,1981,0, B,12.481589,55.705967,2700,4,41,6.235.200,Brønshøj
Ejerlejlighed,1.990.000,33.728,59,54,,2,3.021,1935, 3, D,12.493101,55.705151,2700,0,87,1.990.000,Brønshøj
Ejerlejlighed,3.150.000,34.239,92,76,,3,3.553,1988,0, C,12.464026,55.715312,2700,7,34,2.929.500,Brønshøj
Villa,7.645.000,44.707,171,,754,6,6.220,1942,0, D,12.471086,55.710724,2700,0,80,7.645.000,Brønshøj
Ejerlejlighed,2.350.000,27.011,87,82,,4,4.956,1958, 2, E,12.458846,55.71533,2700,0,64,2.350.000,Brønshøj
Villa,6.750.000,59.210,114,,636,4,6.455,1935,0, D,12.501532,55.703906,2700,7,87,6.277.500,Brønshøj
Villa,8.995.000,73.729,122,,492,4,5.647,1930,0, C,12.504544,55.708898,2700,10,92,8.095.500,Brønshøj
Ejerlejlighed,2.395.000,26.910,89,84,,4,5.058,1958,0, E,12.459588,55.715505,2700,4,64,2.299.200,Brønshøj
Villalejlighed,4.095.000,36.562,112,,,5,2.666,1988,0, C,12.467912,55.704408,2700,5,34,3.890.250,Brønshøj
Villalejlighed,3.495.000,39.715,88,,,3,3.280,1934, 1, E,12.4826753,55.7064557,2700,7,88,3.250.350,Brønshøj
Fritidshus,2.995.000,49.916,60,,2671,1,1.560,2016,0,,12.502192,55.709317,2700,14,6,2.575.700,Brønshøj
Villa,3.895.000,56.449,69,,297,3,3.918,1941,0, D,12.472804,55.714151,2700,7,81,3.622.350,Brønshøj
Villa,3.395.000,33.613,101,,212,4,4.700,1923,0, D,12.485163,55.70803,2700,0,99,3.395.000,Brønshøj
Villa,11.495.000,78.197,147,,447,7,6.127,1907,0, C,12.503317,55.699697,2700,12,115,10.115.600,Brønshøj
Villa,9.495.000,68.309,139,,670,5,6.975,1914,0, D,12.495369,55.707759,2700,5,108,9.020.250,Brønshøj
Villa,4.495.000,62.430,72,,673,2,5.679,1925,0, E,12.478249,55.702093,2700,10,97,4.045.500,Brønshøj
Ejerlejlighed,1.495.000,36.463,41,37,,1,1.553,1959, 2, C,12.492822,55.705985,2700,6,63,1.405.300,Brønshøj
Ejerlejlighed,2.595.000,29.827,87,82,,4,4.957,1958, 1, E,12.45938,55.714389,2700,0,64,2.595.000,Brønshøj
