Frederiksberg,['2000']
Glostrup,['2600']
Br?ndby,['2605']
R?dovre,['2610']
Albertslund,['2620']
Vallensb?k,['2625']
Taastrup,['2630']
Ish?j,['2635']
Hedehusene,['2640']
Hvidovre,['2650']
Br?ndby Strand,['2660']
Vallensb?k Strand,['2665']
Greve,['2670']
Solr?d Strand,['2680']
Karlslunde,['2690']
Br?nsh?j,['2700']
Herlev,['2730']
Skovlunde,['2740']
Ballerup,['2750']
M?l?v,['2760']
Sm?rum,['2765']
Kastrup,['2770']
Drag?r,['2791']
Kongens Lyngby,['2800']
Gentofte,['2810']
Virum,['2830']
Holte,['2840']
N?rum,['2850']
S?borg,['2860']
Dysseg?rd,['2870']
Bagsv?rd,['2880']
Hellerup,['2900']
Charlottenlund,['2920']
Klampenborg,['2930']
Skodsborg,['2942']
Vedb?k,['2950']
Rungsted Kyst,['2960']
H?rsholm,['2970']
Kokkedal,['2980']
Niv?,['2990']
